#DAY  DATE     ROUTE    FLT NO  AIRCRAFT          CLASS  MILEAGE   TOTAL

MON   8AUG83  LGW-FAO  BR      DC10      x        ECON       911     911
MON  22AUG83  FAO-LGW  BR      DC10      x        ECON       911    1822

SAT  22SEP84  LHR-CDG  BA302   757       x        CLUB       188    2010
SAT  22SEP84  CDG-LHR  AF818   AB300     x        ECON       188    2198

SAT  24NOV84  LHR-AMS  BA406   757        x       ECON       199    2397
SUN  24NOV84  AMS-LHR  BA415   737        x       CLUB       199    2596

SAT  30MAR85  LHR-EDI  BA4712  BAC1-11    x       SHUTTLE    287    2883
SUN  31MAR85  EDI-LHR  BD63    DC9        x       ECON       287    3170

FRI  12JUL85  LHR-ATH  BA564   TRISTAR     x      ECON      1306    5284
SAT  20JUL85  ATH-LHR  OA261   AB300       x      ECON      1306    6590

SUN  11AUG85  LHR-IST  BA570   757         x      ECON      1357    7947
THU  15AUG85  IST-ADB  TK      727         x      ECON       178    8125
MON  19AUG85  ADB-IST  TK      AB310       x      ECON       178    8303
WED  21AUG85  IST-LHR  TK979   AB310       x      ECON      1357    9660

THU   5DEC85  LHR-NCE  AF951   727        x       ECON       562   10222
SUN   8DEC85  NCE-LHR  BA343   757        x       ECON       562   10784

SAT  21DEC85  LHR-CDG  BA304   TRISTAR     x      ECON       188   10972
SAT  21DEC85  CDG-LHR  BA313   737         x      ECON       188   11160

FRI  31JAN86  LHR-AMS  BA406   757      G-BIKM   CLUB       199   11359
FRI  31JAN86  AMS-LHR  BA415   757      G-BIKT   ECON       199   11558

SAT  26APR86  LGW-AGP  BA472   737      G-BGJE   ECON       890   12448
SUN   4MAY86  AGP-LGW  BA473   737      G-BGDP   ECON       890   13338

SAT  12JUL86  LGW-BCN  BA484   737      G-BGDE   ECON       620   13958
TUE  15JUL86  BCN-LHR  IB620   727      EC-CFG   ECON       620   14578

FRI  15AUG86  LHR-AMS  BA406   757      G-BIKM   ECON       199   14777
FRI  15AUG86  AMS-LHR  BA417   757      G-BIKM   ECON       199   14976

THU  25SEP86  LHR-CFU  OA264   AB300    SX-BED   ECON      1107   16259
THU  25SEP86  CFU-ATH  OA264   AB300    SX-BED   ECON       207   16466
SAT   4OCT86  ATH-ZRH  SR303   AB310    HB-IPE   ECON       879   17345
SAT   4OCT86  ZRH-LHR  SR808   AB310    HB-IPD   ECON       426   17771

FRI   5DEC86  LHR-CDG  AF807   AB310    F-GEMA   ECON       188   17959
FRI   5DEC86  CDG-LHR  BA315   TRISTAR  G-BBAG   ECON       188   18147

THU  16APR87  LHR-BAH  BA145   TRISTAR  G-BGBC   ECON      2750   20897
THU  16APR87  BAH-DOH  BA145   TRISTAR  G-BGBC   ECON        77   20974
THU  23APR87  DOH-DHA  KL546   747      PH-BUD   ECON        98   21072
THU  23APR87  DHA-AMS  KL546   747      PH-BUD   ECON      2560   23632
THU  23APR87  AMS-LHR  BA401   757      G-BIKN   ECON       199   23831

SAT   2MAY87  LHR-CDG  BA304   757      G-BIKL   CLUB       188   24019
SAT   2MAY87  CDG-LHR  BA315   757      G-BIKL   ECON       188   24207

SAT  23MAY87  LHR-GLA  BA4902  757      G-BIKK   SHUTTLE    298   24505
MON  25MAY87  GLA-LHR  BA4943  757      G-BIKD   SHUTTLE    298   24803

THU   4JUN87  LGW-DFW  BR453   DC10     G-BHDJ   ECON      4138   28941
TUE   9JUN87  DFW-LGW  BR454   DC10     G-BEBL   ECON      4138   33079

SAT  11JUL87  LHR-FCO  BA502   TRISTAR  G-BHBR   ECON       780   33859
TUE  14JUL87  FCO-LHR  BA505   757      G-BIKZ   ECON       780   34639

TUE   1SEP87  LHR-JFK  BA9091  CONCORDE G-BOAG   CONCORDE  2989   37628
WED   2SEP87  JFK-LHR  BA178   747      G-BDXF   ECON      2989   40617

THU  10SEP87  LGW-ATH  BA568   757      G-BIKH   CLUB      1283   41900
TUE  15SEP87  ATH-JTR  OA550   737      SX-BCL   ECON       121   42021
SAT  26SEP87  HER-ATH  OA505   AB300    SX-BED   ECON       168   42189
SAT  26SEP87  ATH-CDG  AF603   737      F-GBYD   ECON      1133   43322
